AssetID,AssetName,EquipmentCategory,CategoryGroup,CriticalityRating,Subsystem,Location,Manufacturer,InstallDate,CurrentStatus,DataOrigin,IsIllustrative
LNG-PMP-001,Process Pump 001,Pump,Rotating Equipment,A,Liquefaction Support,Train 1,ABB,2008-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-002,Gas Compressor 002,Compressor,Rotating Equipment,A,Gas Compression,Train 2,Mitsubishi Heavy Industries,2019-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-003,Electric Motor 003,Electrical,Electrical,A,Electrical Distribution,Utilities,ABB,2018-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-004,Utility Generator 004,Generator,Power Generation,A,Power Generation,Utilities,ABB,2019-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-005,Cooling Water Pump 005,Pump,Rotating Equipment,A,Utilities - Cooling Water,Train 2,ABB,2024-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-006,Process Pump 006,Pump,Rotating Equipment,B,Liquefaction Support,Common Area,ABB,2019-01-01,Operating,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-007,Gas Compressor 007,Compressor,Rotating Equipment,A,Gas Compression,Train 1,ABB,2006-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-008,Electric Motor 008,Electrical,Electrical,A,Electrical Distribution,Utilities,ABB,2010-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-009,Utility Generator 009,Generator,Power Generation,A,Power Generation,Utilities,Mitsubishi Heavy Industries,2019-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-010,Cooling Water Pump 010,Pump,Rotating Equipment,A,Utilities - Cooling Water,Train 1,ABB,2016-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-011,Process Pump 011,Pump,Rotating Equipment,A,Liquefaction Support,Train 2,GE Vernova,2020-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-012,Gas Compressor 012,Compressor,Rotating Equipment,A,Gas Compression,Common Area,ABB,2017-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-013,Electric Motor 013,Electrical,Electrical,A,Electrical Distribution,Utilities,Siemens Energy,2011-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-014,Utility Generator 014,Generator,Power Generation,A,Power Generation,Utilities,ABB,2025-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-015,Cooling Water Pump 015,Pump,Rotating Equipment,A,Utilities - Cooling Water,Common Area,ABB,2012-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-016,Process Pump 016,Pump,Rotating Equipment,A,Liquefaction Support,Train 1,Siemens Energy,2023-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-017,Gas Compressor 017,Compressor,Rotating Equipment,A,Gas Compression,Train 2,Siemens Energy,2012-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-018,Electric Motor 018,Electrical,Electrical,A,Electrical Distribution,Utilities,ABB,2011-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-019,Utility Generator 019,Generator,Power Generation,A,Power Generation,Utilities,ABB,2009-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-020,Cooling Water Pump 020,Pump,Rotating Equipment,A,Utilities - Cooling Water,Train 2,GE Vernova,2010-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-021,Process Pump 021,Pump,Rotating Equipment,A,Liquefaction Support,Common Area,GE Vernova,2012-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-022,Gas Compressor 022,Compressor,Rotating Equipment,A,Gas Compression,Train 1,Siemens Energy,2012-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-023,Electric Motor 023,Electrical,Electrical,A,Electrical Distribution,Utilities,Siemens Energy,2009-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-024,Utility Generator 024,Generator,Power Generation,A,Power Generation,Utilities,Siemens Energy,2006-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-025,Cooling Water Pump 025,Pump,Rotating Equipment,A,Utilities - Cooling Water,Train 1,Mitsubishi Heavy Industries,2010-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-026,Process Pump 026,Pump,Rotating Equipment,A,Liquefaction Support,Train 2,ABB,2023-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-027,Gas Compressor 027,Compressor,Rotating Equipment,A,Gas Compression,Common Area,ABB,2017-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-028,Electric Motor 028,Electrical,Electrical,A,Electrical Distribution,Utilities,Mitsubishi Heavy Industries,2025-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-029,Utility Generator 029,Generator,Power Generation,A,Power Generation,Utilities,Mitsubishi Heavy Industries,2023-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-030,Cooling Water Pump 030,Pump,Rotating Equipment,A,Utilities - Cooling Water,Common Area,ABB,2006-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-031,Process Pump 031,Pump,Rotating Equipment,A,Liquefaction Support,Train 1,Siemens Energy,2015-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-032,Gas Compressor 032,Compressor,Rotating Equipment,A,Gas Compression,Train 2,Mitsubishi Heavy Industries,2011-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-033,Electric Motor 033,Electrical,Electrical,A,Electrical Distribution,Utilities,ABB,2012-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-034,Utility Generator 034,Generator,Power Generation,A,Power Generation,Utilities,Mitsubishi Heavy Industries,2016-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-035,Cooling Water Pump 035,Pump,Rotating Equipment,A,Utilities - Cooling Water,Train 2,Siemens Energy,2009-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-036,Process Pump 036,Pump,Rotating Equipment,A,Liquefaction Support,Common Area,Mitsubishi Heavy Industries,2021-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-037,Gas Compressor 037,Compressor,Rotating Equipment,A,Gas Compression,Train 1,Siemens Energy,2010-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-038,Electric Motor 038,Electrical,Electrical,A,Electrical Distribution,Utilities,Mitsubishi Heavy Industries,2011-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-039,Utility Generator 039,Generator,Power Generation,A,Power Generation,Utilities,Mitsubishi Heavy Industries,2026-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-040,Cooling Water Pump 040,Pump,Rotating Equipment,A,Utilities - Cooling Water,Train 1,GE Vernova,2022-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-041,Process Pump 041,Pump,Rotating Equipment,A,Liquefaction Support,Train 2,Mitsubishi Heavy Industries,2017-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-042,Gas Compressor 042,Compressor,Rotating Equipment,A,Gas Compression,Common Area,Siemens Energy,2019-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-043,Electric Motor 043,Electrical,Electrical,A,Electrical Distribution,Utilities,ABB,2012-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-044,Utility Generator 044,Generator,Power Generation,A,Power Generation,Utilities,Mitsubishi Heavy Industries,2019-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-045,Cooling Water Pump 045,Pump,Rotating Equipment,A,Utilities - Cooling Water,Common Area,ABB,2012-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-046,Process Pump 046,Pump,Rotating Equipment,A,Liquefaction Support,Train 1,Mitsubishi Heavy Industries,2016-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-047,Gas Compressor 047,Compressor,Rotating Equipment,A,Gas Compression,Train 2,GE Vernova,2020-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-048,Electric Motor 048,Electrical,Electrical,A,Electrical Distribution,Utilities,Mitsubishi Heavy Industries,2016-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-049,Utility Generator 049,Generator,Power Generation,A,Power Generation,Utilities,Siemens Energy,2011-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-050,Cooling Water Pump 050,Pump,Rotating Equipment,A,Utilities - Cooling Water,Train 2,Mitsubishi Heavy Industries,2022-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-051,Process Pump 051,Pump,Rotating Equipment,A,Liquefaction Support,Common Area,Mitsubishi Heavy Industries,2007-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-052,Gas Compressor 052,Compressor,Rotating Equipment,A,Gas Compression,Train 1,ABB,2012-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-053,Electric Motor 053,Electrical,Electrical,A,Electrical Distribution,Utilities,ABB,2021-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-054,Utility Generator 054,Generator,Power Generation,A,Power Generation,Utilities,GE Vernova,2016-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-055,Cooling Water Pump 055,Pump,Rotating Equipment,A,Utilities - Cooling Water,Train 1,ABB,2009-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-056,Process Pump 056,Pump,Rotating Equipment,A,Liquefaction Support,Train 2,Siemens Energy,2016-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-057,Gas Compressor 057,Compressor,Rotating Equipment,A,Gas Compression,Common Area,Mitsubishi Heavy Industries,2016-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-058,Electric Motor 058,Electrical,Electrical,A,Electrical Distribution,Utilities,Siemens Energy,2021-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-059,Utility Generator 059,Generator,Power Generation,A,Power Generation,Utilities,ABB,2009-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-060,Cooling Water Pump 060,Pump,Rotating Equipment,A,Utilities - Cooling Water,Common Area,Mitsubishi Heavy Industries,2023-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-061,Process Pump 061,Pump,Rotating Equipment,A,Liquefaction Support,Train 1,Mitsubishi Heavy Industries,2024-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-062,Gas Compressor 062,Compressor,Rotating Equipment,A,Gas Compression,Train 2,Mitsubishi Heavy Industries,2006-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-063,Electric Motor 063,Electrical,Electrical,A,Electrical Distribution,Utilities,Mitsubishi Heavy Industries,2012-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-064,Utility Generator 064,Generator,Power Generation,A,Power Generation,Utilities,ABB,2006-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-065,Cooling Water Pump 065,Pump,Rotating Equipment,A,Utilities - Cooling Water,Train 2,ABB,2011-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-066,Process Pump 066,Pump,Rotating Equipment,A,Liquefaction Support,Common Area,Mitsubishi Heavy Industries,2020-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-067,Gas Compressor 067,Compressor,Rotating Equipment,A,Gas Compression,Train 1,Mitsubishi Heavy Industries,2012-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-068,Electric Motor 068,Electrical,Electrical,A,Electrical Distribution,Utilities,ABB,2016-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-069,Utility Generator 069,Generator,Power Generation,A,Power Generation,Utilities,GE Vernova,2007-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-070,Cooling Water Pump 070,Pump,Rotating Equipment,A,Utilities - Cooling Water,Train 1,ABB,2017-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-071,Process Pump 071,Pump,Rotating Equipment,A,Liquefaction Support,Train 2,GE Vernova,2008-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-072,Gas Compressor 072,Compressor,Rotating Equipment,A,Gas Compression,Common Area,Mitsubishi Heavy Industries,2024-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-073,Electric Motor 073,Electrical,Electrical,A,Electrical Distribution,Utilities,GE Vernova,2006-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-074,Utility Generator 074,Generator,Power Generation,A,Power Generation,Utilities,Mitsubishi Heavy Industries,2022-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-075,Cooling Water Pump 075,Pump,Rotating Equipment,A,Utilities - Cooling Water,Common Area,ABB,2007-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-076,Process Pump 076,Pump,Rotating Equipment,A,Liquefaction Support,Train 1,GE Vernova,2016-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-077,Gas Compressor 077,Compressor,Rotating Equipment,B,Gas Compression,Train 2,Mitsubishi Heavy Industries,2014-01-01,Operating,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-078,Electric Motor 078,Electrical,Electrical,A,Electrical Distribution,Utilities,Mitsubishi Heavy Industries,2007-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-079,Utility Generator 079,Generator,Power Generation,A,Power Generation,Utilities,ABB,2012-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-080,Cooling Water Pump 080,Pump,Rotating Equipment,A,Utilities - Cooling Water,Train 2,ABB,2020-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-081,Process Pump 081,Pump,Rotating Equipment,A,Liquefaction Support,Common Area,Mitsubishi Heavy Industries,2025-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-082,Gas Compressor 082,Compressor,Rotating Equipment,A,Gas Compression,Train 1,ABB,2015-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-083,Electric Motor 083,Electrical,Electrical,A,Electrical Distribution,Utilities,Mitsubishi Heavy Industries,2008-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-084,Utility Generator 084,Generator,Power Generation,A,Power Generation,Utilities,ABB,2017-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-085,Cooling Water Pump 085,Pump,Rotating Equipment,A,Utilities - Cooling Water,Train 1,Siemens Energy,2010-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-086,Process Pump 086,Pump,Rotating Equipment,A,Liquefaction Support,Train 2,ABB,2024-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-087,Gas Compressor 087,Compressor,Rotating Equipment,A,Gas Compression,Common Area,GE Vernova,2014-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-088,Electric Motor 088,Electrical,Electrical,A,Electrical Distribution,Utilities,Mitsubishi Heavy Industries,2012-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-089,Utility Generator 089,Generator,Power Generation,A,Power Generation,Utilities,ABB,2009-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-090,Cooling Water Pump 090,Pump,Rotating Equipment,A,Utilities - Cooling Water,Common Area,GE Vernova,2024-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-091,Process Pump 091,Pump,Rotating Equipment,A,Liquefaction Support,Train 1,Mitsubishi Heavy Industries,2009-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-092,Gas Compressor 092,Compressor,Rotating Equipment,A,Gas Compression,Train 2,Siemens Energy,2024-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-093,Electric Motor 093,Electrical,Electrical,A,Electrical Distribution,Utilities,ABB,2008-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-094,Utility Generator 094,Generator,Power Generation,A,Power Generation,Utilities,GE Vernova,2008-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-095,Cooling Water Pump 095,Pump,Rotating Equipment,A,Utilities - Cooling Water,Train 2,GE Vernova,2008-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-PMP-096,Process Pump 096,Pump,Rotating Equipment,A,Liquefaction Support,Common Area,GE Vernova,2016-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CMP-097,Gas Compressor 097,Compressor,Rotating Equipment,A,Gas Compression,Train 1,GE Vernova,2012-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-MTR-098,Electric Motor 098,Electrical,Electrical,A,Electrical Distribution,Utilities,GE Vernova,2006-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-GEN-099,Utility Generator 099,Generator,Power Generation,A,Power Generation,Utilities,Siemens Energy,2012-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
LNG-CWP-100,Cooling Water Pump 100,Pump,Rotating Equipment,A,Utilities - Cooling Water,Train 1,Mitsubishi Heavy Industries,2021-01-01,Under Review,Direct/Mapped/Derived/Inferred from public Azure PdM; illustrative LNG-style asset register,True
